datasets,DecisionTreeClassifier:ENANE,DecisionTreeClassifier:ENN,DecisionTreeClassifier:LSSm,DecisionTreeClassifier:base
BreastTissue.csv,0.5272727272727272,0.47363636363636363,0.5409090909090909,0.5790909090909091
Modeling.csv,0.6972307692307693,0.6698461538461539,0.708923076923077,0.6896923076923077
SPECTF.csv,0.625,0.5875,0.625,0.6125
ThoraricSurgery.csv,0.7489361702127659,0.7617021276595745,0.7617021276595745,0.7574468085106383
blood-transfusion.csv,0.7326666666666666,0.7032612612612612,0.7338738738738739,0.7099279279279279
dermatology.csv,0.00818318318318317,0.008258258258258249,0.01636636636636634,0.0027027027027027003
ecoli.csv,0.18110516934046345,0.09893048128342244,0.13743315508021386,0.029946524064171108
glass.csv,0.127056277056277,0.10757575757575752,0.13181818181818178,0.14502164502164497
imageSegmentation.csv,0.7333333333333333,0.6761904761904762,0.7523809523809524,0.7428571428571429
indian-liver.csv,0.2127410870835768,0.18702513150204556,0.17507305669199297,0.20222092343658676
ionosphere.csv,0.809047619047619,0.8176984126984127,0.8205555555555556,0.8175396825396826
letter-recognition.csv,0.38975,0.38705,0.3786,0.39255
liver.csv,0.17361344537815124,0.18504201680672266,0.23773109243697474,0.18546218487394955
pendigits.csv,0.8927120605251446,0.8828412995104584,0.8783049399198932,0.8877776591010236
satimage.csv,0.0342146189735614,0.03514774494556762,0.0326594090202177,0.03172628304821148
sonar.csv,0.6878571428571428,0.6440476190476191,0.6245238095238095,0.6254761904761905
wholesaleCustomers.csv,0.09318181818181814,0.05909090909090905,0.06590909090909088,0.07499999999999996
wifi-localization.csv,0.051500000000000004,0.046,0.045,0.0465
