datasets,GaussianNB:ENANE,GaussianNB:ENN,GaussianNB:LSSm,GaussianNB:base
BreastTissue.csv,0.5590909090909091,0.5827272727272728,0.6254545454545454,0.5209090909090909
Modeling.csv,0.6341538461538462,0.5873846153846154,0.546,0.569076923076923
SPECTF.csv,0.775,0.775,0.8125,0.7625
ThoraricSurgery.csv,0.29999999999999993,0.35744680851063826,0.24893617021276593,0.26382978723404255
blood-transfusion.csv,0.7433693693693694,0.738,0.7313153153153154,0.742036036036036
dermatology.csv,0.00548048048048047,0.0027027027027027003,0.00548048048048047,0.00548048048048047
ecoli.csv,0.14884135472370766,0.31105169340463457,0.02397504456327984,0.1679144385026738
glass.csv,0.11731601731601729,0.12662337662337658,0.18246753246753242,0.20649350649350645
imageSegmentation.csv,0.6285714285714286,0.6095238095238095,0.6142857142857142,0.6714285714285715
indian-liver.csv,0.5041203974284044,0.4886908240794857,0.4869666861484512,0.4783167738164815
ionosphere.csv,0.7067460317460317,0.7238095238095238,0.720952380952381,0.7207936507936508
letter-recognition.csv,0.24735000000000001,0.2414,0.2324,0.22465000000000002
liver.csv,0.13344537815126045,0.1421848739495798,0.12705882352941172,0.11554621848739492
pendigits.csv,0.7863606586559857,0.7862283934134402,0.7856939919893191,0.783962082777036
satimage.csv,0.03312597200622081,0.03359253499222392,0.031104199066874,0.03312597200622081
sonar.csv,0.6438095238095238,0.6392857142857142,0.5911904761904763,0.63
wholesaleCustomers.csv,0.06590909090909088,0.04772727272727268,0.0636363636363636,0.05909090909090903
wifi-localization.csv,0.032,0.03,0.029500000000000005,0.032
