datasets,KNeighborsClassifier:ENANE,KNeighborsClassifier:ENN,KNeighborsClassifier:LSSm,KNeighborsClassifier:base
BreastTissue.csv,0.5945454545454545,0.5954545454545455,0.5954545454545455,0.5754545454545454
Modeling.csv,0.7586153846153846,0.7204615384615385,0.7426153846153846,0.7393846153846153
SPECTF.csv,0.6,0.65,0.65,0.6125
ThoraricSurgery.csv,0.8085106382978724,0.827659574468085,0.8085106382978724,0.8340425531914895
blood-transfusion.csv,0.7526666666666666,0.7232612612612612,0.7378378378378379,0.7714594594594595
dermatology.csv,0.0027027027027027003,0.0054054054054054005,0.0027027027027027003,0.0027027027027027003
ecoli.csv,0.22094474153297683,0.1521390374331551,0.19019607843137254,0.3660427807486631
glass.csv,0.08008658008658004,0.10757575757575755,0.07900432900432898,0.09848484848484844
imageSegmentation.csv,0.7619047619047619,0.7857142857142857,0.7619047619047619,0.8
indian-liver.csv,0.15774400935125657,0.13211572180011685,0.17331969608416128,0.15423728813559318
ionosphere.csv,0.8146825396825397,0.8262698412698413,0.8176190476190476,0.8232539682539682
letter-recognition.csv,0.40175,0.40199999999999997,0.40190000000000003,0.39635000000000004
liver.csv,0.22571428571428567,0.19999999999999998,0.22596638655462184,0.22873949579831931
pendigits.csv,0.9618371161548731,0.9654387182910547,0.9653046728971963,0.9637050289274589
satimage.csv,0.02379471228615861,0.020217729393468102,0.02052877138413684,0.024105754276827353
sonar.csv,0.6780952380952381,0.7171428571428572,0.6690476190476191,0.6354761904761904
wholesaleCustomers.csv,0.04090909090909088,0.04318181818181814,0.05227272727272723,0.04318181818181814
wifi-localization.csv,0.033,0.0305,0.0235,0.0305
