datasets,KNeighborsClassifier:ENANE,KNeighborsClassifier:ENN,KNeighborsClassifier:LSSm,KNeighborsClassifier:base
BreastTissue.csv,0.4581818181818182,0.4536363636363636,0.3872727272727272,0.36454545454545456
Modeling.csv,0.6803076923076923,0.6772307692307692,0.6843076923076923,0.6387692307692308
SPECTF.csv,0.525,0.5375,0.6125,0.625
ThoraricSurgery.csv,0.8,0.8148936170212766,0.8340425531914895,0.8404255319148936
blood-transfusion.csv,0.7433333333333334,0.7393693693693694,0.7406306306306306,0.7365045045045046
dermatology.csv,0.0027027027027027003,0.0054054054054054005,0.0054054054054054005,0.0
ecoli.csv,0.1368983957219251,0.1839572192513369,0.05704099821746879,0.1653297682709447
glass.csv,0.07034632034632031,0.12554112554112548,0.1361471861471861,0.07510822510822508
imageSegmentation.csv,0.4428571428571428,0.49523809523809526,0.6047619047619047,0.42857142857142855
indian-liver.csv,0.15274693161893627,0.16627703097603738,0.16306253652834596,0.22139099941554644
ionosphere.csv,0.7748412698412699,0.7861111111111112,0.7718253968253969,0.7461904761904762
letter-recognition.csv,0.33535,0.33085,0.3418,0.3332
liver.csv,0.24294117647058822,0.2228571428571428,0.19932773109243695,0.16815126050420165
pendigits.csv,0.9384842011570985,0.9390178905206943,0.9388843791722297,0.9380845571873608
satimage.csv,0.02239502332814928,0.024727838258164832,0.032348367029548956,0.025505443234836677
sonar.csv,0.5923809523809525,0.5583333333333333,0.5716666666666665,0.5916666666666666
wholesaleCustomers.csv,0.05909090909090905,0.07272727272727268,0.052272727272727214,0.07045454545454541
wifi-localization.csv,0.0295,0.041999999999999996,0.0335,0.04
