datasets,DecisionTreeClassifier:ENANE,DecisionTreeClassifier:ENN,DecisionTreeClassifier:LSSm,DecisionTreeClassifier:base
BreastTissue.csv,0.24727272727272726,0.2627272727272727,0.26090909090909087,0.31909090909090904
Modeling.csv,0.4976923076923077,0.5283076923076923,0.5567692307692307,0.5718461538461539
SPECTF.csv,0.375,0.5125,0.5972222222222222,0.525
ThoraricSurgery.csv,0.7659574468085106,0.7659574468085106,0.7489361702127659,0.6936170212765957
blood-transfusion.csv,0.7137837837837837,0.6578738738738739,0.6805765765765766,0.6938918918918919
dermatology.csv,0.035735735735735706,0.01899399399399397,0.04677177177177174,0.07087087087087084
ecoli.csv,0.10677361853832439,0.10401069518716573,0.07406417112299463,0.1137254901960784
glass.csv,0.13658008658008652,0.13549783549783545,0.16904761904761897,0.11233766233766229
imageSegmentation.csv,0.21904761904761902,0.20476190476190476,0.29047619047619044,0.29999999999999993
indian-liver.csv,0.1873173582700175,0.19549970777323203,0.20876680303915837,0.174926943308007
ionosphere.csv,0.7018253968253968,0.7322222222222223,0.7548412698412699,0.7148412698412698
letter-recognition.csv,0.31625000000000003,0.31745,0.31074999999999997,0.31710000000000005
liver.csv,0.20554621848739493,0.23470588235294115,0.2110084033613445,0.2290756302521008
pendigits.csv,0.8011770360480641,0.8018365821094793,0.8103814864263462,0.7994362260792167
satimage.csv,0.044945567651632934,0.04090202177293931,0.040435458786936204,0.04276827371695175
sonar.csv,0.5623809523809523,0.6002380952380952,0.6542857142857142,0.5828571428571429
wholesaleCustomers.csv,0.09318181818181814,0.06363636363636359,0.09090909090909087,0.07045454545454544
wifi-localization.csv,0.044,0.0445,0.06,0.0475
