datasets,DecisionTreeClassifier:ENANE,DecisionTreeClassifier:ENN,DecisionTreeClassifier:LSSm,DecisionTreeClassifier:base
BreastTissue.csv,0.5545454545454545,0.4818181818181818,0.5354545454545454,0.44363636363636366
Modeling.csv,0.6613846153846155,0.6187692307692307,0.6498461538461539,0.6393846153846153
SPECTF.csv,0.525,0.5875,0.525,0.6
ThoraricSurgery.csv,0.7680851063829788,0.7638297872340425,0.7702127659574468,0.7617021276595745
blood-transfusion.csv,0.7284684684684685,0.6912252252252252,0.7406306306306306,0.6965765765765766
dermatology.csv,0.00818318318318317,0.0054054054054054005,0.01906906906906904,0.01358858858858857
ecoli.csv,0.04135472370766487,0.06568627450980388,0.12727272727272726,0.11684491978609626
glass.csv,0.08961038961038957,0.14978354978354974,0.0939393939393939,0.12619047619047613
imageSegmentation.csv,0.7095238095238094,0.6476190476190476,0.6285714285714286,0.6714285714285715
indian-liver.csv,0.2040911747516072,0.21943308007013437,0.2557276446522502,0.20420806545879602
ionosphere.csv,0.7776984126984127,0.7807142857142857,0.7945238095238095,0.7805555555555556
letter-recognition.csv,0.3729,0.37324999999999997,0.3765,0.38005
liver.csv,0.25184873949579833,0.22563025210084028,0.2286554621848739,0.1829411764705882
pendigits.csv,0.8697653760569649,0.8756332888295505,0.8799061860258123,0.8717662661326212
satimage.csv,0.032814930015552066,0.03468118195956451,0.03172628304821148,0.03545878693623636
sonar.csv,0.6676190476190476,0.6490476190476191,0.6452380952380953,0.6259523809523809
wholesaleCustomers.csv,0.09772727272727266,0.08409090909090905,0.06818181818181814,0.06136363636363633
wifi-localization.csv,0.0475,0.042499999999999996,0.042499999999999996,0.057999999999999996
