datasets,KNeighborsClassifier:ENANE,KNeighborsClassifier:ENN,KNeighborsClassifier:LSSm,KNeighborsClassifier:base
BreastTissue.csv,0.33090909090909093,0.2,0.21818181818181817,0.2627272727272727
Modeling.csv,0.5878461538461538,0.4890769230769231,0.4907692307692308,0.587076923076923
SPECTF.csv,0.5,0.5125,0.5,0.5
ThoraricSurgery.csv,0.8446808510638298,0.7851063829787235,0.8226950354609929,0.8
blood-transfusion.csv,0.761981981981982,0.7378018018018018,0.7190810810810812,0.7312252252252252
dermatology.csv,0.03828828828828828,0.00548048048048047,0.040615615615615594,0.06336336336336335
ecoli.csv,0.14999999999999997,0.08529411764705878,0.04777183600713011,0.026916221033868086
glass.csv,0.07878787878787877,0.12207792207792205,0.10822510822510818,0.12987012987012983
imageSegmentation.csv,0.21904761904761902,0.2952380952380952,0.28095238095238095,0.18095238095238092
indian-liver.csv,0.18535943892460546,0.15958503798947982,0.1645236703682057,0.16277030976037404
ionosphere.csv,0.6296031746031746,0.7495238095238095,0.7353174603174603,0.661031746031746
letter-recognition.csv,0.2945,0.29564999999999997,0.28825,0.29095
liver.csv,0.21512605042016805,0.20008403361344534,0.20302521008403357,0.2642857142857143
pendigits.csv,0.9115323542501113,0.9093951045838896,0.9109961726746774,0.9116639074321317
satimage.csv,0.0326594090202177,0.03468118195956451,0.02519440124416794,0.032814930015552066
sonar.csv,0.5199999999999999,0.5052380952380953,0.534047619047619,0.5240476190476191
wholesaleCustomers.csv,0.04318181818181815,0.05454545454545451,0.04772727272727269,0.09090909090909087
wifi-localization.csv,0.038,0.0365,0.051500000000000004,0.0345
