classifier_name,dataset_name,accuracy score
KNeighborsClassifier:base,BreastTissue.csv,0.65
KNeighborsClassifier:base,Modeling.csv,0.6154545454545455
KNeighborsClassifier:base,SPECTF.csv,0.6354545454545455
KNeighborsClassifier:base,ThoraricSurgery.csv,0.6236363636363637
KNeighborsClassifier:base,blood-transfusion.csv,0.7470769230769231
KNeighborsClassifier:base,dermatology.csv,0.774
KNeighborsClassifier:base,ecoli.csv,0.7666153846153846
KNeighborsClassifier:base,glass.csv,0.7592307692307692
KNeighborsClassifier:base,imageSegmentation.csv,0.65
KNeighborsClassifier:base,indian-liver.csv,0.6
KNeighborsClassifier:base,ionosphere.csv,0.6625
KNeighborsClassifier:base,letter-recognition.csv,0.5875
KNeighborsClassifier:base,liver.csv,0.8127659574468085
KNeighborsClassifier:base,pendigits.csv,0.8148936170212766
KNeighborsClassifier:base,satimage.csv,0.8085106382978724
KNeighborsClassifier:base,sonar.csv,0.8170212765957446
KNeighborsClassifier:base,wholesaleCustomers.csv,0.745963963963964
KNeighborsClassifier:base,wifi-localization.csv,0.7354054054054054
KNeighborsClassifier:ENANE,BreastTissue.csv,0.742
KNeighborsClassifier:ENANE,Modeling.csv,0.7620720720720721
KNeighborsClassifier:ENANE,SPECTF.csv,0.0054054054054054005
KNeighborsClassifier:ENANE,ThoraricSurgery.csv,0.0027027027027027003
KNeighborsClassifier:ENANE,blood-transfusion.csv,0.0027027027027027003
KNeighborsClassifier:ENANE,dermatology.csv,0.00818318318318317
KNeighborsClassifier:ENANE,ecoli.csv,0.2045454545454545
KNeighborsClassifier:ENANE,glass.csv,0.2299465240641711
KNeighborsClassifier:ENANE,imageSegmentation.csv,0.216934046345811
KNeighborsClassifier:ENANE,indian-liver.csv,0.07352941176470587
KNeighborsClassifier:ENANE,ionosphere.csv,0.0939393939393939
KNeighborsClassifier:ENANE,letter-recognition.csv,0.1164502164502164
KNeighborsClassifier:ENANE,liver.csv,0.10735930735930732
KNeighborsClassifier:ENANE,pendigits.csv,0.09826839826839825
KNeighborsClassifier:ENANE,satimage.csv,0.8
KNeighborsClassifier:ENANE,sonar.csv,0.7952380952380953
KNeighborsClassifier:ENANE,wholesaleCustomers.csv,0.8095238095238095
KNeighborsClassifier:ENANE,wifi-localization.csv,0.7952380952380953
KNeighborsClassifier:LSSm,BreastTissue.csv,0.16992986557568673
KNeighborsClassifier:LSSm,Modeling.csv,0.18153126826417298
KNeighborsClassifier:LSSm,SPECTF.csv,0.14763296317942723
KNeighborsClassifier:LSSm,ThoraricSurgery.csv,0.15806545879602568
KNeighborsClassifier:LSSm,blood-transfusion.csv,0.7949206349206349
KNeighborsClassifier:LSSm,dermatology.csv,0.8346825396825397
KNeighborsClassifier:LSSm,ecoli.csv,0.8032539682539683
KNeighborsClassifier:LSSm,glass.csv,0.8176984126984127
KNeighborsClassifier:LSSm,imageSegmentation.csv,0.40759999999999996
KNeighborsClassifier:LSSm,indian-liver.csv,0.40525
KNeighborsClassifier:LSSm,ionosphere.csv,0.40815
KNeighborsClassifier:LSSm,letter-recognition.csv,0.4064
KNeighborsClassifier:LSSm,liver.csv,0.20563025210084032
KNeighborsClassifier:LSSm,pendigits.csv,0.23134453781512604
KNeighborsClassifier:LSSm,satimage.csv,0.20579831932773102
KNeighborsClassifier:LSSm,sonar.csv,0.25739495798319323
KNeighborsClassifier:LSSm,wholesaleCustomers.csv,0.9665080551846907
KNeighborsClassifier:LSSm,wifi-localization.csv,0.9669071651090343
KNeighborsClassifier:ENN,BreastTissue.csv,0.9658403204272364
KNeighborsClassifier:ENN,Modeling.csv,0.9674412105028928
KNeighborsClassifier:ENN,SPECTF.csv,0.02006220839813373
KNeighborsClassifier:ENN,ThoraricSurgery.csv,0.019906687402799363
KNeighborsClassifier:ENN,blood-transfusion.csv,0.02192846034214617
KNeighborsClassifier:ENN,dermatology.csv,0.02161741835147743
KNeighborsClassifier:ENN,ecoli.csv,0.755
KNeighborsClassifier:ENN,glass.csv,0.7357142857142857
KNeighborsClassifier:ENN,imageSegmentation.csv,0.6835714285714285
KNeighborsClassifier:ENN,indian-liver.csv,0.6985714285714286
KNeighborsClassifier:ENN,ionosphere.csv,0.05909090909090905
KNeighborsClassifier:ENN,letter-recognition.csv,0.05454545454545451
KNeighborsClassifier:ENN,liver.csv,0.04772727272727269
KNeighborsClassifier:ENN,pendigits.csv,0.05227272727272723
KNeighborsClassifier:ENN,satimage.csv,0.032
KNeighborsClassifier:ENN,sonar.csv,0.028499999999999998
KNeighborsClassifier:ENN,wholesaleCustomers.csv,0.028499999999999998
KNeighborsClassifier:ENN,wifi-localization.csv,0.0305
